Expiry,Pay Date,Days,Notional,CapStrike,CapVols,Reset Rate,Hedge Ratio,Equiv. Coupon,Payment,Discount,Intrinsic PV,Time PV,PV,cap_id,T_i,T_iM1,tau_i
2024-08-30,2024-12-03,91,10000000,2.37617,,3.49,0.0,1.1138,28155.2,0.991428,27913.87,0.0,27913.87,1,0.2638888888888889,0.0,0.2638888888888889
2024-11-29,2025-03-03,90,10000000,2.37617,27.43,3.09406,0.97,0.7212,18030.32,0.983946,17659.13,81.73,17740.86,1,0.5138888888888888,0.2527777777777777,0.261111111111111
2025-02-27,2025-06-03,92,10000000,2.37617,28.1,2.67656,0.76,0.3823,9769.9,0.977475,7503.77,2046.07,9549.84,1,0.7694444444444445,0.5027777777777778,0.2666666666666667
2025-05-30,2025-09-03,92,10000000,2.37617,29.51,2.3779,0.55,0.2405,6145.88,0.971753,42.94,5929.34,5972.28,1,1.025,0.7583333333333333,0.2666666666666666
2025-09-01,2025-12-03,91,10000000,2.37617,34.97,2.25349,0.51,0.2628,6642.1,0.966554,0.0,6419.95,6419.95,1,1.2777777777777777,1.0194444444444444,0.2583333333333333
2025-12-01,2026-03-03,90,10000000,2.37617,35.89,2.17676,0.49,0.2699,6747.87,0.96144,0.0,6487.67,6487.67,1,1.5277777777777777,1.272222222222222,0.2555555555555555
2026-02-27,2026-06-03,92,10000000,2.37617,39.55,2.14709,0.51,0.3255,8317.43,0.956425,0.0,7955.0,7955.0,1,1.7833333333333334,1.5166666666666666,0.2666666666666668
2026-06-01,2026-09-03,92,10000000,2.37617,39.85,2.14039,0.52,0.3596,9188.85,0.95144,0.0,8742.64,8742.64,1,2.0388888888888888,1.7777777777777777,0.261111111111111
2026-09-01,2026-12-03,91,10000000,2.37617,41.06,2.22596,0.56,0.4531,11452.22,0.946437,0.0,10838.81,10838.81,1,2.2916666666666665,2.033333333333333,0.2583333333333333
2026-12-01,2027-03-03,90,10000000,2.37617,40.97,2.24025,0.57,0.4909,12272.78,0.941515,0.0,11555.01,11555.01,1,2.5416666666666665,2.286111111111111,0.2555555555555555
2027-03-01,2027-06-03,92,10000000,2.37617,41.04,2.24039,0.58,0.5206,13303.8,0.93651,0.0,12459.13,12459.13,1,2.797222222222222,2.536111111111111,0.261111111111111
2027-06-01,2027-09-03,92,10000000,2.37617,40.83,2.24039,0.58,0.5454,13937.09,0.931531,0.0,12982.83,12982.83,1,3.0527777777777776,2.7916666666666665,0.261111111111111
2027-09-01,2027-12-03,91,10000000,2.37617,40.34,2.26684,0.59,0.5803,14668.4,0.926429,0.0,13589.24,13589.24,1,3.305555555555556,3.047222222222222,0.2583333333333333
2027-12-01,2028-03-03,91,10000000,2.37617,40.4,2.26684,0.6,0.606,15317.79,0.921348,0.0,14113.02,14113.02,1,3.558333333333333,3.3,0.2583333333333333
2028-03-01,2028-06-05,94,10000000,2.37617,40.47,2.26705,0.6,0.6309,16473.11,0.916129,0.0,15091.5,15091.5,1,3.8194444444444446,3.5527777777777776,0.266666666666667
2028-06-01,2028-09-04,91,10000000,2.37617,40.32,2.26777,0.6,0.652,16480.26,0.911105,0.0,15015.25,15015.25,1,4.072222222222222,3.808333333333333,0.2638888888888888
2028-08-31,2028-12-04,91,10000000,2.37617,39.31,2.34563,0.62,0.7061,17849.35,0.905943,0.0,16170.5,16170.5,1,4.325,4.061111111111111,0.2638888888888893
2028-11-30,2029-03-05,91,10000000,2.37617,39.32,2.34563,0.62,0.7274,18387.7,0.900809,0.0,16563.81,16563.81,1,4.5777777777777775,4.313888888888889,0.2638888888888884
2029-03-01,2029-06-04,91,10000000,2.37617,39.39,2.3457,0.62,0.749,18932.37,0.895704,0.0,16957.79,16957.79,1,4.830555555555556,4.566666666666666,0.2638888888888893
2029-05-31,2029-09-03,91,10000000,2.37617,39.33,2.34578,0.62,0.7677,19404.77,0.890627,0.0,17282.42,17282.42,1,5.083333333333333,4.819444444444445,0.2638888888888884
2029-08-30,2029-12-03,91,10000000,2.37617,39.19,2.35242,0.62,0.7884,19930.17,0.885442,0.0,17647.02,17647.02,1,5.336111111111111,5.072222222222222,0.2638888888888893
2029-11-29,2030-03-04,91,10000000,2.37617,39.25,2.35242,0.62,0.808,20424.56,0.880286,0.0,17979.45,17979.45,1,5.588888888888889,5.325,0.2638888888888884
2030-02-28,2030-06-03,91,10000000,2.37617,39.31,2.3525,0.62,0.8273,20913.05,0.875159,0.0,18302.25,18302.25,1,5.841666666666667,5.5777777777777775,0.2638888888888893
2030-05-30,2030-09-03,92,10000000,2.37617,38.87,2.3525,0.62,0.8359,21360.9,0.870007,0.0,18584.13,18584.13,1,6.097222222222222,5.830555555555556,0.2666666666666666
2030-08-30,2030-12-03,91,10000000,2.37617,36.63,2.53234,0.64,0.9294,23494.4,0.864736,3413.68,16902.77,20316.45,1,6.35,6.086111111111111,0.2638888888888884
2030-11-29,2031-03-03,90,10000000,2.37617,36.59,2.53225,0.64,0.9447,23617.59,0.859552,3354.02,16946.52,20300.54,1,6.6,6.338888888888889,0.261111111111111
2031-02-27,2031-06-03,92,10000000,2.37617,36.64,2.53243,0.64,0.9617,24575.93,0.854284,3411.42,17583.41,20994.83,1,6.855555555555555,6.588888888888889,0.2666666666666666
2031-05-30,2031-09-03,92,10000000,2.37617,36.65,2.53243,0.64,0.9776,24983.94,0.849049,3390.52,17822.08,21212.59,1,7.111111111111111,6.844444444444444,0.2666666666666666
2031-09-01,2031-12-03,91,10000000,2.37617,36.43,2.55681,0.64,1.0055,25417.21,0.843766,3852.8,17593.38,21446.18,1,7.363888888888889,7.105555555555555,0.2583333333333337
2031-12-01,2032-03-03,91,10000000,2.37617,36.48,2.55681,0.64,1.0214,25819.68,0.838515,3828.82,17821.36,21650.19,1,7.616666666666666,7.358333333333333,0.2583333333333328
2032-03-01,2032-06-03,92,10000000,2.37617,36.53,2.5569,0.63,1.0373,26508.09,0.833239,3848.47,18239.09,22087.56,1,7.872222222222222,7.611111111111111,0.261111111111111
2032-06-01,2032-09-03,92,10000000,2.37617,36.31,2.5569,0.63,1.0465,26743.2,0.827996,3824.26,18319.0,22143.25,1,8.127777777777778,7.866666666666666,0.2611111111111119
